Name,Facility Type,Address,City,County,State,Zip Code,Food Waste Accepted?,Feedstock,Source,Unique Identifier,Latitude,Longitude
26TH WARD WPCP - Brooklyn,Water Resource Recovery Facility,12266 FLATLANDS AVENUE,Brooklyn,Kings County,NY,11207,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD718,40.65416377,-73.88058938
3 Machados Dairy Digester,Farm,,Merced,Merced County,CA,95341,,animal manure - cattle/dairy cow,,AD254,,
4K Dairy Digester,Farm,,Pixley,Tulare County,CA,93256,,animal manure - cattle/dairy cow,AgStar,AD315,,
A.K. Warren Water Resource Facility (formerly Joint WPCP),Water Resource Recovery Facility,24501 S. Figueroa Street,Carson,Los Angeles County,CA,90745,Yes,"Wastewater solids, Food waste, Beverage processing industry waste, Fats, oils and greases (FOG), Food processing industry waste, Food service waste, pre & post-consumer, Fruit/vegetative wastes, Retail food waste, Septage, Source-separated commercial, ins",AD Data Collection Project - WRRF,AD767,33.801159,-118.28583
AA Dairy Digester,Farm,,Candor,Tioga County,NY,13743,,animal manure - cattle/dairy cow,AgStar,AD60,,
ABEC Bidart-Old River LLC Digester,Farm,,Bakersfield,Kern County,CA,93311,,animal manure - cattle/dairy cow,AgStar,AD13,,
ABEC Bidart-Stockdale LLC Digester,Farm,,Bakersfield,Kern County,CA,93314,,animal manure - cattle/dairy cow,AgStar,AD14,,
ABEC Carlos Echeverria & Sons Digester,Farm,,Bakersfield,Kern County,CA,93301,,animal manure - cattle/dairy cow,AgStar,AD15,,
ABEC Lakeview Farms Dairy Digester,Farm,,Bakersfield,Kern County,CA,93301,,animal manure - cattle/dairy cow,AgStar,AD16,,
ABEC West Star North Dairies Digester,Farm,,Buttonwillow,Kern County,CA,93206,,animal manure - cattle/dairy cow,AgStar,AD51,,
Aberdeen Area WWTP,Water Resource Recovery Facility,361 MICHEAL LANE,Aberdeen,Harford County,MD,21001,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD583,39.50963483,-76.14931468
ABERDEEN WWTF,Water Resource Recovery Facility,700 SE. 135th Street,Aberdeen,Brown County,SD,57401,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD584,45.42667301,-98.47752397
AB-Inbev Baldwinsville BTS,Stand-Alone,2885 Belgium Road,Baldwinsville,Onondaga County,NY,13027,Yes,"Food waste, Beverage processing industry waste",AD Data Collection Project - Stand-Alone,AD470,43.16572349,-76.30909888
AB-Inbev Cartersville,Stand-Alone,100 Busch Drive,Cartersville,Bartow County,GA,30120,Yes,Beverage & Distillery Waste,AD Data Collection Project - Stand-Alone,AD478,34.22698417,-84.85791714
AB-Inbev Columbus BTS,Stand-Alone,700 Schrock Rd,Columbus,Franklin County,OH,43229,Yes,"Food waste, Beverage processing industry waste",AD Data Collection Project - Stand-Alone,AD482,40.104597,-82.99245096
AB-Inbev Fairfield Brewery BTS,Stand-Alone,3101 Busch Dr,Fairfield,Solano County,CA,94534,Yes,Beverage & Distillery Waste,AD Data Collection Project - Stand-Alone,AD494,38.23634999,-122.09098203
AB-Inbev Houston BTS,Stand-Alone,775 Gellhorn Dr,Houston,Harris County,TX,77029,Yes,Beverage & Distillery Waste,AD Data Collection Project - Stand-Alone,AD509,29.77242901,-95.27124299
AB-Inbev Jacksonville,Stand-Alone,111 Busch Dr,Jacksonville,Duval County,FL,32218,Yes,Beverage & Distillery Waste,AD Data Collection Project - Stand-Alone,AD511,30.434092,-81.64956203
AB-Inbev LA,Stand-Alone,8250 Woodley Ave,Van Nuys,Los Angeles County,CA,91406,Yes,Beverage & Distillery Waste,AD Data Collection Project - Stand-Alone,AD573,34.22025758,-118.48361067
AB-Inbev Merrimack BTS,Stand-Alone,221 Daniel Webster Hwy,Merrimack,Hillsborough County,NH,03054,Yes,"Food waste, Beverage processing industry waste",AD Data Collection Project - Stand-Alone,AD525,42.821225,-71.48472897
AB-Inbev Newark BTS,Stand-Alone,200 US 1,Newark,Essex County,NJ,07114,Yes,"Food waste, Beverage processing industry waste",AD Data Collection Project - Stand-Alone,AD538,40.66555663,-74.20501478
AB-Inbev St. Louis BTS,Stand-Alone,One Busch Place,St. Louis,St. Louis cityCounty,MO,63118,Yes,Food Waste,,AD566,38.59861798,-90.209943
ABINGTON TWP COMM-WWTR TRTMT P,Water Resource Recovery Facility,SUSQUEHANNA &FITZWATERTOWN RDS,Abington,Montgomery County,PA,19025,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD587,40.13252001,-75.15270001
Ackerman Dairy Digester,Farm,,Ceres,Stanislaus County,CA,95307,,animal manure - cattle/dairy cow,AgStar,AD69,,
Acme Dairy,Farm,,Oakley,Cassia County,ID,83346,,animal manure - cattle/dairy cow,,AD299,,
ADDISON SOUTH-A.J. LAROCCA STP,Water Resource Recovery Facility,333 South Villa Ave.,Addison,DuPage County,IL,60101,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD588,41.92091433,-87.97504978
Addison WWTP,Water Resource Recovery Facility,64 Sutton Drive,Addison,Steuben County,NY,14801,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD590,42.10864676,-77.22229718
ADDISON WWTP-NORTH,Water Resource Recovery Facility,711 NORTH ADDISON ROAD,Addison,DuPage County,IL,60101,,wastewater solids,Water Environment Federation- http://www.resourcerecoverydata.org/biogasdata.php,AD589,41.94049323,-87.98859035
Adirondack Farms Digester,Farm,,Peru,Clinton County,NY,12972,,animal manure - cattle/dairy cow,,AD312,,
AgPower Jerome - Double A Dairy Digester,Farm,,Jerome,Jerome County,ID,83338,,animal manure - cattle/dairy cow,AgStar,AD202,,
Agromin Organic Recycling Compost Facility,Stand-Alone,201 Kinetic Drive,Oxnard,Ventura County,CA,93030,Yes,Food waste; other feedstocks,AD Data Collection Project - Stand-Alone,AD543,34.202904,-119.133414
Ahlem Farms Dairy Digester,Farm,,Denair,Stanislaus County,CA,95316,,animal manure - cattle/dairy cow,,AD112,,
Ahlem Farms Jerseys Digester,Farm,,Crows Landing,Stanislaus County,CA,95313,,animal manure - cattle/dairy cow,,AD102,,
